Question Number,Question,Answer,Category,Difficulty
271,Explain the difference between INNER JOIN and LEFT JOIN in SQL.,INNER JOIN returns matching rows from both tables; LEFT JOIN returns all rows from the left table and matching rows from the right.,Database and SQL,Medium
272,"What is a stored procedure, and when would you use one?","Stored procedures are precompiled SQL statements for data manipulation and logic, used for repetitive tasks and improving performance.",Database and SQL,Medium
273,"What is database denormalization, and when is it appropriate?","Denormalization introduces redundancy for performance, useful in read-heavy scenarios at the expense of storage and complexity.",Database and SQL,Medium
274,Discuss the advantages and disadvantages of using an ORM tool.,ORM simplifies database interactions and is language-agnostic. It can introduce performance overhead and may limit database features.,Database and SQL,Medium
275,What is a JOIN in SQL?,JOIN is used to combine rows from two or more tables based on related columns.,Database and SQL,Medium
276,What is the difference between INNER JOIN and LEFT JOIN?,"INNER JOIN returns only matching rows, while LEFT JOIN returns all rows from the left table and matching rows from the right.",Database and SQL,Medium
277,What is an index in SQL?,An index improves the speed of data retrieval operations on a database table.,Database and SQL,Medium
278,What are ACID properties?,"ACID stands for Atomicity, Consistency, Isolation, and Durability; key properties for reliable transactions.",Database and SQL,Medium
279,What is a subquery?,A subquery is a query nested inside another SQL query.,Database and SQL,Medium
280,What is a view in SQL?,A view is a virtual table based on the result of a SELECT query.,Database and SQL,Medium
281,What is the difference between DELETE and TRUNCATE?,DELETE removes rows one by one with rollback capability; TRUNCATE removes all rows quickly without rollback.,Database and SQL,Medium
282,What is a stored procedure?,A stored procedure is a saved collection of SQL statements that can be reused.,Database and SQL,Medium
283,What is a composite key?,A composite key is a primary key made up of two or more columns.,Database and SQL,Medium
284,What is GROUP BY used for?,GROUP BY is used to group rows that have the same values in specified columns.,Database and SQL,Medium
285,Describe the ACID properties in database transactions.,"ACID: Atomicity (indivisible transactions), Consistency (consistent state transitions), Isolation (independent transactions), Durability (persisted changes).",Database and SQL,Hard
286,What is normalization in database design?,"Normalization organizes data into separate tables to reduce redundancy and improve integrity, following normalization forms.",Database and SQL,Hard
287,What is database sharding?,Sharding is a method of distributing data across multiple machines to improve performance and scalability.,Database and SQL,Hard
288,What is a transaction in SQL and how is it managed?,"A transaction is a sequence of operations treated as a single logical unit, managed using BEGIN, COMMIT, and ROLLBACK.",Database and SQL,Hard
289,What are window functions in SQL?,"Window functions perform calculations across a set of table rows related to the current row, using OVER().",Database and SQL,Hard
290,What is the difference between OLTP and OLAP?,OLTP is optimized for transactional tasks; OLAP is optimized for analytical queries on large data sets.,Database and SQL,Hard
291,What is denormalization?,Denormalization is the process of combining tables to improve read performance at the cost of redundancy.,Database and SQL,Hard
292,Explain recursive CTEs in SQL.,Recursive Common Table Expressions allow a query to reference itself to produce hierarchical or tree-structured data.,Database and SQL,Hard
293,What is database partitioning?,Partitioning is the division of a database table into multiple pieces for improved performance and manageability.,Database and SQL,Hard
294,What is the purpose of the HAVING clause?,"HAVING filters groups after GROUP BY, unlike WHERE which filters individual rows before grouping.",Database and SQL,Hard
295,What is a materialized view?,"A materialized view stores the result of a query physically, unlike regular views that are virtual.",Database and SQL,Hard
296,How do you handle deadlocks in SQL?,Deadlocks are resolved by identifying conflicting transactions and retrying one of them after rollback.,Database and SQL,Hard
297,Optimize database queries for a high-traffic website.,"Focus on indexing, query optimization, using caching, database sharding, and efficient schema design.",Database Systems,Hard
298,Design a system for efficient storage and retrieval of large-scale time-series data.,"Optimize for write-heavy loads, use time-based partitioning, efficient indexing, and consider data compression techniques.",Database Systems,Hard
299,Optimize an SQL database for a high-volume financial transaction system.,"Focus on transaction isolation levels, indexing strategies, query optimization, and database sharding.",Database Systems,Hard
300,What is infrastructure as code (IaC)?,"IaC manages infrastructure using code, ensuring consistency, automation, and version control in deployments.",DevOps,Easy
301,What is DevOps?,DevOps is a set of practices that combines software development and IT operations to shorten development lifecycle.,DevOps,Easy
302,What is CI/CD?,"CI/CD stands for Continuous Integration and Continuous Deployment/Delivery, automating software development and deployment.",DevOps,Easy
303,What is version control in DevOps?,Version control in DevOps ensures changes are tracked and managed in the development process.,DevOps,Easy
304,What is configuration management?,Configuration management is maintaining software performance and functionality by systematically handling changes.,DevOps,Easy
305,What is infrastructure as code (IaC)?,"IaC manages infrastructure using code and automation tools, making it easier to provision and configure resources.",DevOps,Easy
306,What is containerization?,Containerization packages software and its dependencies into containers that can run consistently across environments.,DevOps,Easy
307,What is Docker?,Docker is a platform that automates the deployment and management of applications using containers.,DevOps,Easy
308,What is Kubernetes?,"Kubernetes is an orchestration system for automating the deployment, scaling, and management of containerized applications.",DevOps,Easy
309,What is monitoring in DevOps?,Monitoring involves tracking system performance and health to ensure availability and detect issues.,DevOps,Easy
310,What is continuous testing?,Continuous testing is the process of executing automated tests as part of the software delivery pipeline.,DevOps,Easy
311,"What is Docker, and how does it work?","Docker is a containerization platform packaging applications with dependencies, ensuring consistent environments across systems.",DevOps,Medium
312,Explain the concept of container orchestration.,"Container orchestration automates deployment, scaling, and management of containers, optimizing resource use and handling failures.",DevOps,Medium
313,"What is Kubernetes, and why is it popular in container management?","Kubernetes is an open-source container orchestration platform automating deployment and management, known for its scalability and community support.",DevOps,Medium
314,Discuss the importance of automated testing in CI/CD pipelines.,"Automated testing in CI/CD ensures code changes are defect-free, enhancing reliability and speeding up delivery.",DevOps,Medium
315,"What is Blue-Green deployment, and when would you use it?",Blue-Green deployment alternates between two production environments for easy rollbacks and minimal downtime during updates.,DevOps,Medium
316,Explain the role of a configuration management tool like Ansible.,"Configuration management tools automate provisioning and management of software and infrastructure, ensuring consistency and efficiency.",DevOps,Medium
317,"Describe the benefits of using a cloud platform like AWS, Azure, or Google Cloud.","Cloud platforms offer scalability, cost-efficiency, global reach, and managed services, reducing operational burdens with security and compliance features.",DevOps,Medium
318,Describe the use of Docker in a DevOps environment.,"Docker allows for packaging applications in containers, facilitating consistent deployment across different environments.",DevOps,Medium
319,What is continuous integration in DevOps?,Continuous integration is the practice of automating the integration of code changes into a software project.,DevOps,Medium
320,What is Kubernetes and how does it relate to containerization?,"Kubernetes is an open-source platform for automating deployment, scaling, and operations of application containers across clusters of hosts.",DevOps,Medium
321,What is Infrastructure as Code (IaC) and its significance in DevOps?,"IaC is the management of infrastructure (networks, virtual machines, load balancers, etc.) in a descriptive model, using code, which increases development and deployment speed.",DevOps,Medium
322,Discuss the role of a load balancer in a distributed system.,A load balancer distributes network or application traffic across multiple servers to enhance responsiveness and availability of applications.,DevOps,Medium
323,Describe the use of Docker in a DevOps environment.,"Docker allows for packaging applications in containers, facilitating consistent deployment across different environments.",DevOps,Medium
324,What is continuous integration in DevOps?,Continuous integration is the practice of automating the integration of code changes into a software project.,DevOps,Medium
325,Discuss the role of a load balancer in a distributed system.,A load balancer distributes network or application traffic across multiple servers to enhance responsiveness and availability of applications.,DevOps,Medium
326,Describe the use of Docker in a DevOps environment.,"Docker allows for packaging applications in containers, facilitating consistent deployment across different environments.",DevOps,Medium
327,What is the difference between Docker and virtual machines?,Docker uses container-level virtualization; VMs use hardware-level virtualization with separate OS instances.,DevOps,Medium
328,What is a DevOps pipeline?,A DevOps pipeline automates software delivery processes from development to deployment.,DevOps,Medium
329,What are artifacts in CI/CD?,"Artifacts are outputs from the build process, such as binaries or package files, used in later stages of CI/CD.",DevOps,Medium
330,What is blue-green deployment?,Blue-green deployment reduces downtime and risk by running two production environments and switching traffic between them.,DevOps,Medium
331,What is canary deployment?,Canary deployment rolls out a new version to a small subset of users before a full release.,DevOps,Medium
332,What is the role of Jenkins in DevOps?,"Jenkins is an automation server used to build, test, and deploy software as part of CI/CD.",DevOps,Medium
333,What is Helm in Kubernetes?,Helm is a package manager for Kubernetes that helps manage complex applications with charts.,DevOps,Medium
334,What is the difference between scaling vertically and horizontally?,Vertical scaling adds resources to a single machine; horizontal scaling adds more machines to handle load.,DevOps,Medium
335,What is immutable infrastructure?,Immutable infrastructure does not change after deployment; updates require replacing components entirely.,DevOps,Medium
336,What is the role of observability in DevOps?,"Observability provides insight into system behavior through metrics, logs, and traces, helping diagnose issues.",DevOps,Medium
337,A service crashes randomly in production. How do you debug this with observability tools?,"Use logs, metrics, and distributed tracing (e.g., Prometheus, Grafana, Jaeger) to pinpoint performance bottlenecks or memory leaks.",DevOps,Medium
338,How do you manage secrets in CI/CD pipelines?,"Use secret management tools like HashiCorp Vault or AWS Secrets Manager, and avoid hardcoding credentials.",DevOps,Medium
339,Your deployment is failing only in staging but not locally. What do you do?,"Compare environment variables, dependencies, and container image differences using diff tools or reproducible builds.",DevOps,Medium
340,You want to rollback to a previous app version instantly. How do you prepare for this?,"Use immutable artifacts, maintain deployment versions, and script rollback steps using infrastructure-as-code.",DevOps,Medium
341,"What are SLAs, SLOs, and SLIs?","SLAs (Agreements), SLOs (Objectives), and SLIs (Indicators) define and measure service reliability and performance.",DevOps,Hard
342,Describe the process of continuous integration and continuous delivery (CI/CD).,"CI/CD automates build, test, and deployment processes, delivering code changes rapidly and reliably to production.",DevOps,Hard
343,How do you monitor the performance of a web application?,"Monitor using tools to collect and analyze data on response times, resource utilization, error rates, and user experience.",DevOps,Hard
344,What is Kubernetes and how does it relate to containerization?,"Kubernetes is an open-source platform for automating deployment, scaling, and operations of application containers across clusters of hosts.",DevOps,Hard
345,What is Infrastructure as Code (IaC) and its significance in DevOps?,"IaC is the management of infrastructure (networks, virtual machines, load balancers, etc.) in a descriptive model, using code, which increases development and deployment speed.",DevOps,Hard
346,What is chaos engineering?,Chaos engineering tests a system's resilience by intentionally introducing failures to observe behavior and improve reliability.,DevOps,Hard
347,What are service meshes?,Service meshes manage service-to-service communication in microservices architectures with observability and control.,DevOps,Hard
348,What is dynamic provisioning?,"Dynamic provisioning automatically allocates resources as needed, typically in cloud environments.",DevOps,Hard
349,What is GitOps?,"GitOps uses Git as the source of truth for declarative infrastructure and applications, enabling automated deployments.",DevOps,Hard
350,How do you manage secrets in DevOps?,"Secrets are managed using tools like HashiCorp Vault, AWS Secrets Manager, or Kubernetes Secrets.",DevOps,Hard
351,What is the difference between continuous deployment and continuous delivery?,Continuous deployment automatically releases every change that passes tests; continuous delivery requires manual approval.,DevOps,Hard
352,What is autoscaling?,Autoscaling automatically adjusts resource capacity based on current load and demand.,DevOps,Hard
353,How is monitoring different from observability?,Monitoring tracks known issues; observability enables discovery and debugging of unknown issues.,DevOps,Hard
354,What is a build agent?,"A build agent is a machine that runs automated tasks like building, testing, and deploying code in CI/CD.",DevOps,Hard
355,You're deploying updates to production frequently. How do you ensure zero downtime?,Use blue-green or canary deployments with load balancing and health checks.,DevOps,Hard
356,What is a distributed system?,A distributed system is a system that consists of multiple independent nodes that communicate and coordinate to achieve a common goal.,Distributed System,Easy
357,What is a client-server architecture?,"In a client-server architecture, clients request services or resources from a server, which processes the requests and returns the results.",Distributed System,Easy
358,What is a distributed database?,"A distributed database is a database that is spread across multiple machines, allowing for higher scalability and availability.",Distributed System,Easy
359,What is consistency in distributed systems?,Consistency ensures that all nodes in a distributed system have the same data at any given time.,Distributed System,Easy
360,What is partition tolerance in distributed systems?,Partition tolerance refers to a system's ability to continue operating even if communication between nodes is lost.,Distributed System,Easy
361,What is the CAP theorem?,"The CAP theorem states that a distributed system can guarantee at most two of the following three: Consistency, Availability, and Partition Tolerance.",Distributed System,Easy
362,What is replication in distributed systems?,Replication is the process of duplicating data across multiple nodes to improve availability and fault tolerance.,Distributed System,Easy
363,What is a distributed file system?,"A distributed file system allows files to be stored across multiple machines, with transparent access to the user.",Distributed System,Easy
364,What is horizontal scaling in distributed systems?,"Horizontal scaling involves adding more machines to the system to handle increased load, as opposed to vertical scaling which adds more resources to a single machine.",Distributed System,Medium
365,What is vertical scaling in distributed systems?,"Vertical scaling involves adding more computational power (CPU, RAM, etc.) to a single machine to handle increased load.",Distributed System,Medium
366,What is the role of a load balancer in a distributed system?,"A load balancer distributes incoming network traffic across multiple servers, ensuring no single server is overwhelmed.",Distributed System,Medium
367,What is a distributed hash table (DHT)?,"A distributed hash table is a decentralized storage system that maps keys to values in a distributed system, often used in peer-to-peer systems.",Distributed System,Medium
368,What is a consensus algorithm?,"A consensus algorithm is a method used in distributed systems to ensure all nodes agree on a common decision, such as the state of the system.",Distributed System,Medium
369,What is the difference between strong consistency and eventual consistency?,"Strong consistency guarantees that all nodes always have the same data, while eventual consistency allows for temporary discrepancies between nodes, which will be resolved over time.",Distributed System,Medium
370,What is MapReduce in distributed systems?,"MapReduce is a programming model used to process large datasets in parallel across a distributed cluster, with two phases: Map and Reduce.",Distributed System,Medium
371,What is a Paxos algorithm?,"The Paxos algorithm is a consensus protocol used to achieve agreement among distributed nodes, ensuring consistency and fault tolerance.",Distributed System,Hard
372,What is the role of a leader in a distributed system?,"A leader node is often elected to coordinate actions and decisions in a distributed system, ensuring consistency and reducing conflicts.",Distributed System,Hard
373,What is the difference between a stateful and stateless system?,"A stateful system maintains the state of interactions across multiple requests, while a stateless system treats each request independently without retaining any state information.",Distributed System,Hard
374,What is eventual consistency?,"Eventual consistency is a consistency model where updates to a system will propagate and eventually all nodes will converge to the same state, though this may take some time.",Distributed System,Hard
375,What is the difference between CAP theorem and PACELC theorem?,The PACELC theorem extends the CAP theorem by adding the tradeoff between latency and consistency when the system is partitioned.,Distributed System,Hard
376,What is a quorum in distributed systems?,A quorum is the minimum number of nodes in a distributed system that need to agree on a decision to ensure consistency and prevent split-brain scenarios.,Distributed System,Hard
377,What is the leader election problem?,Leader election is the process by which nodes in a distributed system agree on a single leader node to coordinate activities.,Distributed System,Hard
378,What is gossip protocol in distributed systems?,Gossip protocol is a communication mechanism where nodes periodically share information with random other nodes to propagate updates in a distributed system.,Distributed System,Hard
379,What is a deadlock in distributed systems?,"Deadlock occurs when two or more nodes in a distributed system are stuck waiting for each other to release resources, leading to a system standstill.",Distributed System,Hard
380,What is a distributed transaction?,A distributed transaction involves multiple nodes or databases in a distributed system coordinating to ensure that a series of operations complete successfully or not at all.,Distributed System,Hard
381,What is the two-phase commit protocol?,"The two-phase commit protocol is a consensus algorithm used to ensure that a distributed transaction is either fully completed or fully rolled back, guaranteeing atomicity.",Distributed System,Hard
382,What is eventual consistency in NoSQL databases?,"Eventual consistency in NoSQL databases means that updates to the data may not be immediately visible across all replicas, but they will eventually converge to a consistent state.",Distributed System,Hard
383,What is a Byzantine fault?,"A Byzantine fault occurs when nodes in a distributed system act arbitrarily or maliciously, violating the system's expected behavior.",Distributed System,Hard
384,A social media platform needs to handle user timelines with millions of concurrent users. How would you implement eventual consistency here?,Use event queues and eventual consistency principles with replicated databases to sync user posts across timelines asynchronously.,Distributed Systems,Medium
385,How would you design a notification system that guarantees delivery without overwhelming the system during peak usage?,"Use message queues (e.g., RabbitMQ, Kafka) with retry mechanisms, rate limiting, and batching to handle peak load.",Distributed Systems,Medium
386,How would you use a distributed cache in a shopping app to reduce read latency during flash sales?,"Use distributed caching systems like Redis or Memcached to cache frequently accessed product data close to the application layer, reducing backend load.",Distributed Systems,Medium
387,Explain the Raft consensus algorithm.,"Discuss leader election, log replication, safety, and how Raft achieves consensus in a distributed system.",Distributed Systems,Hard
388,Explain how a blockchain works and how to implement one.,"Focus on cryptographic hashing, decentralized consensus algorithms (like Proof of Work), and the maintenance of a distributed ledger.",Distributed Systems,Hard
389,Implement a distributed file system.,"Address challenges in data distribution, replication, fault tolerance, consistency, and performance.",Distributed Systems,Hard
390,Implement a distributed graph processing framework.,"Discuss vertex-centric computation, message passing between nodes, and optimizations for large-scale processing.",Distributed Systems,Hard
391,Design and implement a large-scale distributed cache system.,"Consider consistency, data partitioning, eviction policies, and fault tolerance in distributed caching.",Distributed Systems,Hard
392,You're designing a real-time ride-hailing app like Uber. How would you ensure consistency and availability of location data across servers?,"Use techniques like data partitioning, eventual consistency with vector clocks or versioning, and tools like Apache Kafka or Cassandra to sync real-time data across nodes.",Distributed Systems,Hard
393,Your team is building a multiplayer game. How can distributed locks be used to prevent race conditions in real-time state updates?,Implement distributed locking using systems like Zookeeper or Redis to manage access to shared game state across servers.,Distributed Systems,Hard
394,Explain the difference between '==' and '===' in JavaScript.,"'==' compares values after type conversion, while '===' compares both value and type.",Front-end,Easy
395,What is front-end development?,"Front-end development involves building the user interface and user experience of web applications using HTML, CSS, and JavaScript.",Front-end,Easy
396,What are HTML tags?,HTML tags are predefined elements used to structure content on web pages.,Front-end,Easy
397,What is CSS used for?,"CSS is used to style and layout HTML elements, including color, spacing, and positioning.",Front-end,Easy
398,What is JavaScript?,JavaScript is a scripting language used to create interactive and dynamic features in web browsers.,Front-end,Easy
399,What are responsive web designs?,Responsive designs ensure that web pages render well on various screen sizes and devices.,Front-end,Easy
400,What is the DOM?,The Document Object Model (DOM) is a programming interface for HTML and XML documents.,Front-end,Easy
401,What is a CSS class?,A CSS class is a reusable style that can be applied to HTML elements via the 'class' attribute.,Front-end,Easy
402,What is an event listener in JavaScript?,"An event listener is a procedure in JavaScript that waits for an event to occur, such as a user clicking a button.",Front-end,Easy
403,What is Bootstrap?,Bootstrap is a front-end framework for developing responsive and mobile-first websites.,Front-end,Easy
404,What are media queries in CSS?,"Media queries allow CSS to be applied conditionally based on screen size, resolution, or device characteristics.",Front-end,Easy
405,A user reports inconsistent button styles. How do you maintain visual consistency?,"Use a component library or design system with shared styling (e.g., Tailwind, Material UI).",Front-end,Easy
406,You want to track user interactions on your site. How do you implement analytics?,Integrate analytics tools like Google Analytics or Mixpanel and track custom events with JavaScript.,Front-end,Easy
407,Can you explain the concept of 'state' in React?,State in React is an object that holds some information that may change over the lifecycle of the component.,Front-end,Medium
408,What are the benefits of server-side rendering vs client-side rendering?,"Server-side rendering improves initial page load time and SEO, while client-side rendering is good for dynamic websites with less initial loading content.",Front-end,Medium
409,Explain the use of hooks in React.,Hooks are functions that let you 'hook into' React state and lifecycle features from function components.,Front-end,Medium
410,What is lazy loading in web development?,"Lazy loading is a design pattern that delays loading of non-critical resources at page load time, reducing initial load time and page weight.",Front-end,Medium
411,Explain event delegation in JavaScript.,Event delegation refers to the practice of using a single event listener to manage all events of a specific type for child elements.,Front-end,Medium
412,How would you optimize a website's load time?,"Optimizations can include minimizing HTTP requests, using CDNs, compressing files, caching, etc.",Front-end,Medium
413,Can you explain the concept of 'state' in React?,State in React is an object that holds some information that may change over the lifecycle of the component.,Front-end,Medium
414,What are the benefits of server-side rendering vs client-side rendering?,"Server-side rendering improves initial page load time and SEO, while client-side rendering is good for dynamic websites with less initial loading content.",Front-end,Medium
415,Explain the use of hooks in React.,Hooks are functions that let you 'hook into' React state and lifecycle features from function components.,Front-end,Medium
416,What is lazy loading in web development?,"Lazy loading is a design pattern that delays loading of non-critical resources at page load time, reducing initial load time and page weight.",Front-end,Medium
417,Explain event delegation in JavaScript.,Event delegation refers to the practice of using a single event listener to manage all events of a specific type for child elements.,Front-end,Medium
418,Explain the concept of 'closure' in JavaScript.,A closure is a function that remembers its outer variables and can access them.,Front-end,Medium
419,What is virtual DOM?,Virtual DOM is a lightweight copy of the actual DOM that improves performance by minimizing direct DOM manipulation.,Front-end,Medium
420,What are components in React?,"Components in React are independent, reusable pieces of UI built using JavaScript functions or classes.",Front-end,Medium
421,What is two-way data binding?,Two-way data binding keeps the model and the view in sync automatically.,Front-end,Medium
422,What is state in React?,State is a built-in object that stores property values that belong to a component and can change over time.,Front-end,Medium
423,What is the difference between props and state in React?,"Props are read-only and passed to components, while state is mutable and managed within the component.",Front-end,Medium
424,What is a Single Page Application (SPA)?,SPA is a web application that loads a single HTML page and dynamically updates content without reloading the page.,Front-end,Medium
425,What is client-side routing?,Client-side routing handles routing within the browser without refreshing the page.,Front-end,Medium
426,What is Webpack?,Webpack is a module bundler that compiles JavaScript modules and assets for deployment.,Front-end,Medium
427,What is the difference between == and === in JavaScript?,"== compares values with type coercion, while === compares values and types strictly.",Front-end,Medium
428,What is hoisting in JavaScript?,Hoisting is JavaScript's behavior of moving declarations to the top of their scope before code execution.,Front-end,Medium
429,Your website loads slowly on mobile. What optimization techniques would you apply?,"Use lazy loading, image compression, code splitting, minification, and async loading of scripts.",Front-end,Medium
430,You need to ensure accessibility for a government site. What steps will you take?,"Follow WCAG guidelines, use semantic HTML, ARIA attributes, keyboard navigation, and screen reader testing.",Front-end,Medium
431,Explain the concept of 'closure' in JavaScript.,A closure is a function that remembers its outer variables and can access them.,Front-end,Hard
432,How would you optimize a website's load time?,"Optimizations can include minimizing HTTP requests, using CDNs, compressing files, caching, etc.",Front-end,Hard
433,Explain the difference between '==' and '===' in JavaScript.,"'==' compares values after type conversion, while '===' compares both value and type.",Front-end,Hard
434,Explain the concept of 'closure' in JavaScript.,A closure is a function that remembers its outer variables and can access them.,Front-end,Hard
435,What is server-side rendering?,Server-side rendering (SSR) is a technique where the HTML is generated on the server and sent to the client.,Front-end,Hard
436,What are web components?,Web components are a set of web platform APIs that allow you to create reusable custom elements.,Front-end,Hard
437,What is React Fiber?,React Fiber is the reimplementation of the React core algorithm to improve rendering and responsiveness.,Front-end,Hard
438,What is Redux and why is it used?,Redux is a state management library used to manage application state in predictable ways.,Front-end,Hard
439,What is a Higher Order Component (HOC)?,An HOC is a function that takes a component and returns a new component with additional behavior.,Front-end,Hard
440,Explain the box model in CSS.,"The box model describes the layout of HTML elements as boxes with margins, borders, padding, and content.",Front-end,Hard
441,What is context API in React?,The context API provides a way to pass data through the component tree without prop drilling.,Front-end,Hard
442,What is tree shaking?,Tree shaking is a process of removing unused code during the bundling process to reduce file size.,Front-end,Hard
443,What is code splitting in React?,Code splitting breaks up code into smaller chunks to load only what is necessary for a specific route or feature.,Front-end,Hard
444,What is hydration in React?,Hydration is the process of attaching event listeners and reusing the server-rendered HTML on the client side.,Front-end,Hard
445,How do you secure a single-page application from XSS attacks?,"Sanitize user inputs, use Content Security Policy (CSP), and avoid dangerouslySetInnerHTML in React or similar methods.",Front-end,Hard
446,What is MVC architecture?,"MVC stands for Model-View-Controller,  a design pattern that separates application logic.""",Full-stack,Easy
447,What technologies are used in full-stack development?,"Technologies include HTML, CSS, JavaScript, Node.js, Express, React, MongoDB and SQL.",Full-stack,Easy
448,What is CRUD?,"CRUD stands for Create, Read, Update, and Delete, the four basic operations of persistent storage.",Full-stack,Easy
449,What is full-stack development?,Full-stack development involves working on both the front-end and back-end of a web application.,Full-stack,Easy
450,What is the role of a full-stack developer?,"A full-stack developer handles both client-side and server-side development.""",Full-stack,Easy
451,What is an API and how is it used?,"An API (Application Programming Interface) allows communication between different software systems.""",Full-stack,Easy
452,What is JSON and why is it used?,"JSON (JavaScript Object Notation) is a lightweight data-interchange format used to exchange data between client and server.""",Full-stack,Easy
453,What is RESTful API?,"RESTful API uses HTTP requests to access and use data and follows REST architectural constraints.""",Full-stack,Easy
454,What is a session?,"A session is a way to store information about a user across multiple pages.""",Full-stack,Easy
455,What is authentication vs authorization?,"Authentication verifies identity; authorization checks permissions to access resources.""",Full-stack,Easy
456,A new developer joins your project. How do you ensure they set up the full stack efficiently?,"Provide Docker containers or scripts to spin up the entire stack locally, along with a README or onboarding guide.",Full-stack,Easy
457,How do you manage state in a front-end app?,"Using tools like Redux,  Context API,  or local component state in React.",Full-stack,Medium
458,What are web sockets?,"WebSockets allow real-time,  two-way communication between a client and server.",Full-stack,Medium
459,How do you implement a binary search algorithm?,"Binary search involves repeatedly dividing in half the portion of the list that could contain the item, until you've narrowed the possibilities to just one.",Full-stack,Medium
460,Describe the MVC architecture.,"MVC architecture stands for Model-View-Controller, separating the application into three interconnected components.",Full-stack,Medium
461,How do you implement a binary search algorithm?,"Binary search involves repeatedly dividing in half the portion of the list that could contain the item, until you've narrowed the possibilities to just one.",Full-stack,Medium
462,Describe the MVC architecture.,"MVC architecture stands for Model-View-Controller, separating the application into three interconnected components.",Full-stack,Medium
463,Describe the process of memoization in programming.,Memoization is an optimization technique used to speed up programs by storing the results of expensive function calls.,Full-stack,Medium
464,How do you connect front-end to back-end?,"By using HTTP requests (like fetch or axios) to interact with back-end APIs.""",Full-stack,Medium
465,What is middleware in Express.js?,"Middleware are functions that execute during the request-response cycle in Express.js applications.""",Full-stack,Medium
466,What are environment variables?,"Environment variables store configuration details like API keys outside the source code.""",Full-stack,Medium
467,What is CORS?,"CORS (Cross-Origin Resource Sharing) is a security feature that controls resource sharing between different origins.""",Full-stack,Medium
468,What is SSR and CSR?,"Server-Side Rendering (SSR) renders pages on the server; Client-Side Rendering (CSR) renders in the browser.""",Full-stack,Medium
469,What is token-based authentication?,"Users are authenticated using a token (like JWT) that is sent with each request.""",Full-stack,Medium
470,How do you handle form validation?,"Using client-side (JavaScript) or server-side checks to validate user input.""",Full-stack,Medium
471,What is HTTPS and why use it?,"HTTPS is HTTP with encryption (SSL/TLS) to secure data transfer.""",Full-stack,Medium
472,How do you optimize API responses for a mobile app consuming your service?,"Use GraphQL for flexible queries, compress JSON payloads, and paginate large responses.",Full-stack,Medium
473,You want to allow users to upload images. How would you handle uploads and storage?,"Use signed URLs with S3 or similar storage, and validate file size/type before processing.",Full-stack,Medium
474,What are micro frontends?,"Micro frontends are a design pattern where the front-end is divided into independent, deployable modules.",Full-stack,Hard
475,How do you monitor performance in full-stack apps?,"Using tools like Google Lighthouse,  New Relic,  or custom logging for front and back-end.",Full-stack,Hard
476,What is a monorepo?,"A monorepo is a single repository containing multiple related projects,  often used in full-stack development.",Full-stack,Hard
477,How do you structure a full-stack project?,"Organize into separate folders for client and server, shared interfaces, and environment configurations.",Full-stack,Hard
478,What is GraphQL and how does it differ from REST?,"GraphQL is a query language for APIs that lets clients request specific data,  unlike REST which provides fixed data formats.",Full-stack,Hard
479,What is serverless architecture?,"Serverless allows developers to run code without managing servers, using cloud functions triggered by events.",Full-stack,Hard
480,Describe the process of memoization in programming.,Memoization is an optimization technique used to speed up programs by storing the results of expensive function calls.,Full-stack,Hard
481,Explain the SOLID principles in software engineering.,"SOLID stands for Single Responsibility, Open-Closed, Liskov Substitution, Interface Segregation, and Dependency Inversion principles, guiding towards more maintainable, understandable, and flexible software.",Full-stack,Hard
482,Explain the SOLID principles in software engineering.,"SOLID stands for Single Responsibility, Open-Closed, Liskov Substitution, Interface Segregation, and Dependency Inversion principles, guiding towards more maintainable, understandable, and flexible software.",Full-stack,Hard
483,How do you implement server-side rendering with React?,"By using frameworks like Next.js that support SSR for React apps.""",Full-stack,Hard
484,How do you handle file uploads?,"By using multipart/form-data encoding and libraries like multer in Express.js.""",Full-stack,Hard
485,What is containerization?,"Containerization packages an app and its dependencies into containers for consistent deployment.""",Full-stack,Hard
486,How do you handle errors globally in a full-stack app?,"By implementing centralized error-handling middleware on the server and try-catch blocks on the client.""",Full-stack,Hard
487,You need to build a collaborative document editor. How would you architect it?,"Use WebSockets for real-time sync, CRDT or OT for conflict resolution, and a NoSQL database like Firebase or MongoDB.",Full-stack,Hard
488,You're asked to build an event booking platform. How would you handle seat availability concurrency?,"Use optimistic locking or transactions to prevent double-booking, and cache available slots.",Full-stack,Hard
489,What is a variable in programming?,A variable is a storage location identified by a name that holds data that can be changed during program execution.,General Programming,Easy
490,What are data types in programming?,"Data types specify the type of data a variable can hold, such as integers, strings, floats, etc.",General Programming,Easy
491,What does a 'for' loop do?,A 'for' loop repeatedly executes a block of code a specific number of times.,General Programming,Easy
492,What is a conditional statement?,"Conditional statements execute code blocks based on specified conditions using if, else, or elif.",General Programming,Easy
493,What is a function in programming?,A function is a reusable block of code that performs a specific task and can return a value.,General Programming,Easy
494,What is the difference between == and = in programming?,'=' is the assignment operator; '==' checks equality between values.,General Programming,Easy
495,What is a syntax error?,A syntax error occurs when code violates the grammar rules of the programming language.,General Programming,Easy
496,How is a comment used in code?,Comments are non-executing text used to describe code logic or disable parts of code.,General Programming,Easy
497,What does the term IDE stand for?,"IDE stands for Integrated Development Environment; it provides tools for coding, testing, and debugging.",General Programming,Easy
